doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence
0;7.9.2026 12:01;Checked out a pop-up store today #experience #popup ;https://raw.githubusercontent.com/jummi-jammi/pop-up-store/main/outdoor-carabiner2-onelogo.webp;;15;;;cambranini ;cambranini ;;https://raw.githubusercontent.com/jummi-jammi/pop-up-store/main/user1.webp;4523;0;0;;A;
1;7.9.2026 12:01;Missing summer vibes and beach days #summer #beach;https://raw.githubusercontent.com/jummi-jammi/pop-up-store/main/insta_beach.webp;;7;;;karapiperis ;karapiperis ;;https://raw.githubusercontent.com/jummi-jammi/pop-up-store/main/user2.webp;15600;0;0;;A;
2;7.9.2026 12:01;Trying out new recipe for dinner tonight #cooking #recipe;https://raw.githubusercontent.com/jummi-jammi/pop-up-store/main/insta_recipe.webp;;10;;;glatfelter ;glatfelter ;;https://raw.githubusercontent.com/jummi-jammi/pop-up-store/main/user3.webp;3721;0;0;;A;
3;7.9.2026 12:01;Capturing moments through a lens #photography #hobbies;https://raw.githubusercontent.com/jummi-jammi/pop-up-store/main/insta4_photography.webp;;13;;;sdsueuro ;sdsueuro ;;https://raw.githubusercontent.com/jummi-jammi/pop-up-store/main/user4.webp;9832;0;0;;A;
4;7.9.2026 12:01;Technology is changing the way we live #technology #innovation;https://raw.githubusercontent.com/jummi-jammi/pop-up-store/main/insta_work.webp;;8;;;dhirajc ;dhirajc ;;https://raw.githubusercontent.com/jummi-jammi/pop-up-store/main/user5.webp;5470;0;0;;A;
5;7.9.2026 12:01;Checked out a pop-up store today #experience #popup ;https://raw.githubusercontent.com/jummi-jammi/pop-up-store/main/outdoor-carabiner2-manylogos.webp;;15;;;cambranini ;cambranini ;;https://raw.githubusercontent.com/jummi-jammi/pop-up-store/main/user1.webp;2350;0;0;;B;
6;7.9.2026 12:01;Missing summer vibes and beach days #summer #beach;https://raw.githubusercontent.com/jummi-jammi/pop-up-store/main/insta_beach.webp;;7;;;karapiperis ;karapiperis ;;https://raw.githubusercontent.com/jummi-jammi/pop-up-store/main/user2.webp;4890;0;0;;B;
7;7.9.2026 12:01;Trying out new recipe for dinner tonight #cooking #recipe;https://raw.githubusercontent.com/jummi-jammi/pop-up-store/main/insta_recipe.webp;;10;;;glatfelter ;glatfelter ;;https://raw.githubusercontent.com/jummi-jammi/pop-up-store/main/user3.webp;3033;0;0;;B;
8;7.9.2026 12:01;Capturing moments through a lens #photography #hobbies;https://raw.githubusercontent.com/jummi-jammi/pop-up-store/main/insta4_photography.webp;;13;;;sdsueuro ;sdsueuro ;;https://raw.githubusercontent.com/jummi-jammi/pop-up-store/main/user4.webp;1120;0;0;;B;
9;7.9.2026 12:01;Technology is changing the way we live #technology #innovation;https://raw.githubusercontent.com/jummi-jammi/pop-up-store/main/insta_work.webp;;8;;;dhirajc ;dhirajc ;;https://raw.githubusercontent.com/jummi-jammi/pop-up-store/main/user5.webp;4675;0;0;;B;
